dataset,week,protocol,model,n,n_clusters,cluster_unit,auc_mean,auc_ci_low,auc_ci_high,pr_auc_risk_mean,pr_auc_risk_ci_low,pr_auc_risk_ci_high,brier_mean,brier_ci_low,brier_ci_high,ece_mean,ece_ci_low,ece_ci_high
oulab,8,cutoff_valid,base_lr_profile,26523,22,presentation,0.6468518434598293,0.6336609102906083,0.6594472340475467,0.5874452063014615,0.5625147343423575,0.6086272657185193,0.2257287522371226,0.22004826513338552,0.231221864815718,0.007533392519149321,0.00669846748539513,0.03028931609320693
oulab,8,cutoff_valid,base_rf_gini,26523,22,presentation,0.8259601565171564,0.8076902857069935,0.8400652078431662,0.8053470783704304,0.7724511041846028,0.8302390000385373,0.16520798490453267,0.15799081810200383,0.17346859053656818,0.042790690687013765,0.033804938787715885,0.05353404833494345
oulab,8,cutoff_valid,stack_7_full,26523,22,presentation,0.8375844488662256,0.8218742335863184,0.8494591313266137,0.8206047259494356,0.7924979284067847,0.8414988818370075,0.15716037589806273,0.1514091096194107,0.16396583085171834,0.010142418312169622,0.008315503383474292,0.017342766658959733
oulab,8,cutoff_valid,temporal_hgb,26523,22,presentation,0.8094524056254091,0.785385952126967,0.8283931314313204,0.7775050698331007,0.732992309625542,0.8106624434011639,0.17180967371006764,0.16290692056889755,0.18265683636053887,0.011752972865387162,0.011285317095631521,0.031930652865591214
oulab,8,cutoff_valid_to_activity,base_lr_profile,29166,22,presentation,0.633354632382992,0.6208980304693328,0.6457082079753552,0.602583987595983,0.5762868442848956,0.6253759634114885,0.23938267067337304,0.23251307787930364,0.24729475842131154,0.060725996178731236,0.030254504184558516,0.09442962653776114
oulab,8,cutoff_valid_to_activity,base_rf_gini,29166,22,presentation,0.8579636678321422,0.8375386542975074,0.8733615923174054,0.8706561426912686,0.8387149550824073,0.892909790155024,0.15153205727653318,0.14311698639414358,0.1615260623202865,0.04200221880191753,0.03498598078518412,0.051376994626124266
oulab,8,cutoff_valid_to_activity,stack_7_full,29166,22,presentation,0.867462064839764,0.8503753827988226,0.8806801674268262,0.8802597672182804,0.8527563033472549,0.9002505589386912,0.14419257816952694,0.13722816781552347,0.15229357718698766,0.013331959628828077,0.012164860315304683,0.019853999895923912
oulab,8,cutoff_valid_to_activity,temporal_hgb,29166,22,presentation,0.8424794936924197,0.8161913798131704,0.8622710088756164,0.8476955360938462,0.8072958744593703,0.8754214145208771,0.16020333932685382,0.15064330782802032,0.17204195808750822,0.025976800232374357,0.0205816251493529,0.04353323835561799
oulab,8,static_full,base_lr_profile,32593,22,presentation,0.7071318568035334,0.6899477025150674,0.7254111771614079,0.7636427927093007,0.7407943913976507,0.7819996207649508,0.21157358220731662,0.20564295601625898,0.21699131335641175,0.004837359907172691,0.005419578391208541,0.032585687616899756
oulab,8,static_full,base_rf_gini,32593,22,presentation,0.8845474219955288,0.8669514396738783,0.8969910586588823,0.9134942524478724,0.8903966015993651,0.927747990238855,0.13575221948466812,0.12750504181324632,0.1456574556667624,0.02146669794470683,0.01608990297091386,0.029120375823973168
