dataset,week,model,protocol,train_protocol,eval_protocol,membership_class,n,n_clusters,risk_rate,mean_predicted_risk,auc,pr_auc_risk,brier,ece
oulab,8,base_rf_entropy,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.9033819685181654,0.8378095887298341,0.9806540324497125,0.06532140023559861,0.027639620660783685
oulab,8,base_rf_entropy,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.4601026341779399,0.7994590478710731,0.7711346639050303,0.17689745911760982,0.057579095142278054
oulab,8,base_rf_entropy,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.92825368317611,0.8249488752556238,0.9780980236333657,0.06720299969435041,0.028713440302209126
oulab,8,base_rf_gini,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.4524767257288491,0.7978109518015712,0.7687906877206507,0.17644877267237405,0.046693611857419805
oulab,8,base_rf_gini,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.9025734502618092,0.8351738241308793,0.9806074333698755,0.06559690167050594,0.017167115161396265
oulab,8,base_rf_gini,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.4633158892850199,0.7990650274955474,0.7705334771243861,0.17751648722974914,0.06106741447370673
oulab,8,base_rf_gini,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.9265599248181366,0.8269938650306748,0.9787930695050677,0.06693449736260104,0.029667973100426254
oulab,8,base_svm,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.4613551113973485,0.7259846138933307,0.5934714886821509,0.21017349760150456,0.08070695677393165
oulab,8,base_svm,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.7149853715890472,0.3980458986593956,0.8948210297466401,0.12216997504935292,0.2007449654896046
oulab,8,base_svm,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.41737220011946063,0.72571267244107,0.5845953785914949,0.2105631661193165,0.078057735772695
oulab,8,base_svm,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.7027941469870291,0.35451033855941827,0.8820057695764281,0.12861404989979427,0.21293619009162254
oulab,8,flat_hgb,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.4544475097181377,0.7688038941658493,0.7190749098788123,0.1929050181181208,0.04458179730134596
oulab,8,flat_hgb,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.9342160041454811,0.31851851851851853,0.8790663246176131,0.07927516536201787,0.018485667066829387
oulab,8,flat_hgb,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.4347085103466,0.7729960968777789,0.7232817219525649,0.18823564818163693,0.025326418383278693
oulab,8,flat_hgb,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.8994295325164743,0.33705975914564873,0.8806678304555169,0.07939687561266594,0.04651627346497034
oulab,8,stack_7_full,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.4238703350619444,0.816170051190146,0.7921029624191525,0.16595643419271053,0.01508558625903724
